club_name,ï»¿sofifa_id,age,height_cm,overall,potential,value_eur,wage_eur,international_reputation,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Arsenal,174048.125,24.4375,181.125,74.4375,79.84375,12559062.5,82500.0,2.09375,,,,,,,,
Aston Villa,177596.63333333333,25.066666666666666,181.43333333333334,72.6,76.73333333333333,3830833.3333333335,33766.666666666664,1.4,,,,,,,,
Bournemouth,179682.93103448275,25.79310344827586,182.0,69.89655172413794,74.03448275862068,2162758.620689655,21344.827586206895,1.103448275862069,,,,,,,,
Chelsea,186178.82142857142,24.071428571428573,183.03571428571428,76.32142857142857,81.92857142857143,17316071.42857143,101678.57142857143,2.25,,,,,,,,
Crystal Palace,169532.58620689655,26.75862068965517,183.82758620689654,72.82758620689656,75.20689655172414,3330517.2413793104,34689.65517241379,1.4137931034482758,,,,,,,,
Everton,161855.14285714287,25.75,181.07142857142858,74.35714285714286,79.39285714285714,6733928.571428572,40321.42857142857,1.75,,,,,,,,
Leicester City,181617.8064516129,25.741935483870968,180.6451612903226,69.38709677419355,74.12903225806451,2496612.9032258065,24935.483870967742,1.3225806451612903,,,,,,,,
Liverpool,188989.8148148148,24.185185185185187,181.07407407407408,76.11111111111111,81.07407407407408,10711111.111111112,78185.18518518518,1.8888888888888888,,,,,,,,
Manchester City,169411.3103448276,26.20689655172414,179.82758620689654,77.20689655172414,81.6896551724138,14970689.655172413,97137.93103448275,2.3448275862068964,,,,,,,,
Manchester United,177165.44444444444,24.703703703703702,182.2962962962963,76.25925925925925,80.92592592592592,13582037.037037037,84370.37037037036,2.259259259259259,,,,,,,,
Newcastle United,185364.0,24.666666666666668,181.9,72.8,77.4,4625000.0,43600.0,1.5333333333333334,,,,,,,,
Norwich City,178162.72413793104,25.517241379310345,181.68965517241378,69.3103448275862,73.06896551724138,2149655.172413793,24551.724137931036,1.3103448275862069,,,,,,,,
Southampton,188245.25806451612,24.35483870967742,181.96774193548387,72.06451612903226,77.54838709677419,4695967.741935484,33870.967741935485,1.4193548387096775,,,,,,,,
Stoke City,168068.82142857142,26.964285714285715,184.60714285714286,73.85714285714286,76.53571428571429,5224107.142857143,39428.57142857143,1.7857142857142858,,,,,,,,
Sunderland,173171.125,25.5625,181.5,71.21875,75.25,3335312.5,31750.0,1.4375,,,,,,,,
Swansea City,176509.56666666668,25.766666666666666,181.9,72.06666666666666,75.93333333333334,4596666.666666667,36766.666666666664,1.5,,,,,,,,
Tottenham Hotspur,197206.9,22.766666666666666,182.13333333333333,72.73333333333333,79.3,7761500.0,52566.666666666664,1.5333333333333334,,,,,,,,
Watford,178610.5357142857,26.857142857142858,183.39285714285714,71.32142857142857,73.85714285714286,2790178.5714285714,29214.285714285714,1.3214285714285714,,,,,,,,
West Bromwich Albion,170519.96666666667,25.366666666666667,182.26666666666668,70.13333333333334,74.86666666666666,3350000.0,29800.0,1.4666666666666666,,,,,,,,
West Ham United,187436.5806451613,24.129032258064516,182.61290322580646,70.45161290322581,74.74193548387096,4050161.290322581,34741.93548387097,1.4838709677419355,,,,,,,,
