club_name,ï»¿sofifa_id,age,height_cm,overall,potential,value_eur,wage_eur,international_reputation,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Arsenal,201032.57575757575,24.636363636363637,182.36363636363637,74.84848484848484,81.57575757575758,12486969.696969697,75272.72727272728,2.0303030303030303,,,,,,,,
Bournemouth,201006.84848484848,24.606060606060606,181.21212121212122,70.03030303030303,75.72727272727273,4602878.787878788,33909.09090909091,1.121212121212121,,,,,,,,
Brighton & Hove Albion,204664.78787878787,25.818181818181817,182.06060606060606,72.03030303030303,76.45454545454545,5101515.151515151,30393.939393939392,1.1818181818181819,,,,,,,,
Burnley,193692.78787878787,26.636363636363637,183.36363636363637,72.12121212121212,75.0,6060757.575757576,36909.09090909091,1.2727272727272727,,,,,,,,
Cardiff City,195153.36363636365,26.484848484848484,181.54545454545453,68.9090909090909,72.0,2755000.0,24121.21212121212,1.0303030303030303,,,,,,,,
Chelsea,195565.84848484848,25.87878787878788,183.24242424242425,78.66666666666667,82.93939393939394,19579848.484848484,102030.30303030302,2.121212121212121,,,,,,,,
Crystal Palace,196243.0,25.333333333333332,183.57575757575756,71.33333333333333,76.42424242424242,5831818.181818182,33606.06060606061,1.4242424242424243,,,,,,,,
Everton,196381.0303030303,24.87878787878788,182.0909090909091,75.57575757575758,80.48484848484848,9389393.93939394,65060.606060606064,1.6666666666666667,,,,,,,,
Fulham,210589.0909090909,23.87878787878788,181.96969696969697,70.63636363636364,77.21212121212122,5777878.787878788,32727.272727272728,1.1818181818181819,,,,,,,,
Huddersfield Town,215441.21212121213,23.545454545454547,183.66666666666666,68.81818181818181,75.78787878787878,4109090.909090909,24484.848484848484,1.0606060606060606,,,,,,,,
Leicester City,198858.24242424243,25.757575757575758,182.3939393939394,74.66666666666667,78.9090909090909,7924242.424242424,46636.36363636364,1.4545454545454546,,,,,,,,
Liverpool,207536.39393939395,24.272727272727273,181.27272727272728,77.24242424242425,83.06060606060606,18495454.545454547,90787.87878787878,2.0,,,,,,,,
Manchester City,206212.75757575757,24.21212121212121,180.3030303030303,77.63636363636364,84.36363636363636,23318030.303030305,114424.24242424243,2.090909090909091,,,,,,,,
Manchester United,202538.63636363635,24.78787878787879,183.21212121212122,77.54545454545455,82.84848484848484,18953030.303030305,105545.45454545454,2.090909090909091,,,,,,,,
Newcastle United,206887.18181818182,25.12121212121212,182.3939393939394,71.96969696969697,76.87878787878788,5567424.242424242,30787.878787878788,1.2727272727272727,,,,,,,,
Southampton,205712.15151515152,24.272727272727273,182.42424242424244,72.36363636363636,77.72727272727273,6093181.818181818,29969.696969696968,1.393939393939394,,,,,,,,
Tottenham Hotspur,203116.9090909091,24.545454545454547,182.9090909090909,76.66666666666667,82.84848484848484,18404545.454545453,77030.30303030302,2.0,,,,,,,,
Watford,197772.0606060606,26.545454545454547,185.1818181818182,73.84848484848484,77.6969696969697,6084090.909090909,37000.0,1.4848484848484849,,,,,,,,
West Ham United,201509.54545454544,25.666666666666668,181.78787878787878,73.15151515151516,78.15151515151516,7891515.151515151,54000.0,1.7878787878787878,,,,,,,,
Wolverhampton Wanderers,210008.0606060606,24.242424242424242,183.27272727272728,71.0909090909091,76.84848484848484,5421969.696969697,34939.393939393936,1.3333333333333333,,,,,,,,
