club_name,ï»¿sofifa_id,age,height_cm,overall,potential,value_eur,wage_eur,international_reputation,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Arsenal,187109.69696969696,24.484848484848484,182.75757575757575,76.15151515151516,81.84848484848484,15521969.696969697,95333.33333333333,2.1515151515151514,,,,,,,,
Bournemouth,195287.0303030303,24.12121212121212,181.27272727272728,69.06060606060606,75.12121212121212,2993484.8484848486,30000.0,1.1515151515151516,,,,,,,,
Burnley,196230.72727272726,23.939393939393938,183.0909090909091,66.15151515151516,72.06060606060606,1906818.1818181819,19636.363636363636,1.1515151515151516,,,,,,,,
Chelsea,192179.9090909091,24.272727272727273,183.1818181818182,75.54545454545455,81.57575757575758,15741666.666666666,102393.93939393939,2.242424242424242,,,,,,,,
Crystal Palace,186104.0909090909,25.424242424242426,183.9090909090909,71.27272727272727,75.66666666666667,5042272.7272727275,45272.72727272727,1.5454545454545454,,,,,,,,
Everton,180778.9393939394,25.03030303030303,180.3030303030303,73.54545454545455,79.33333333333333,8146666.666666667,62727.27272727273,1.6363636363636365,,,,,,,,
Hull City,180163.45454545456,25.12121212121212,182.4848484848485,68.6969696969697,74.15151515151516,2543484.8484848486,21909.090909090908,1.2727272727272727,,,,,,,,
Leicester City,196739.48484848486,24.696969696969695,181.87878787878788,71.51515151515152,77.66666666666667,6775000.0,44606.06060606061,1.4848484848484849,,,,,,,,
Liverpool,194496.0303030303,23.696969696969695,182.42424242424244,74.72727272727273,80.84848484848484,11576060.606060605,76181.81818181818,1.7878787878787878,,,,,,,,
Manchester City,186799.78787878787,24.818181818181817,180.66666666666666,75.54545454545455,82.45454545454545,14637878.787878787,104303.0303030303,2.212121212121212,,,,,,,,
Manchester United,182958.96875,24.71875,183.875,77.90625,83.125,17663906.25,106625.0,2.40625,,,,,,,,
Middlesbrough,188175.15151515152,25.303030303030305,182.42424242424244,69.75757575757575,75.03030303030303,3287727.272727273,22212.121212121212,1.303030303030303,,,,,,,,
Southampton,194752.27272727274,24.21212121212121,180.75757575757575,71.93939393939394,77.6969696969697,5041060.606060606,42242.42424242424,1.303030303030303,,,,,,,,
Stoke City,178237.60606060605,26.21212121212121,183.63636363636363,72.72727272727273,76.9090909090909,6789242.424242424,46787.878787878784,1.6666666666666667,,,,,,,,
Sunderland,187740.69696969696,24.09090909090909,181.24242424242425,70.66666666666667,77.45454545454545,3739545.4545454546,25060.60606060606,1.2121212121212122,,,,,,,,
Swansea City,189312.21212121213,24.78787878787879,182.6969696969697,70.84848484848484,76.66666666666667,4705303.03030303,42424.242424242424,1.393939393939394,,,,,,,,
Tottenham Hotspur,203566.87878787878,22.636363636363637,182.8181818181818,73.03030303030303,80.51515151515152,11725606.06060606,61969.69696969697,1.7575757575757576,,,,,,,,
Watford,192452.42424242425,26.03030303030303,183.6060606060606,71.60606060606061,75.48484848484848,4477272.7272727275,36424.242424242424,1.3636363636363635,,,,,,,,
West Bromwich Albion,186942.65625,24.5625,184.0625,68.59375,74.0,3303281.25,24687.5,1.375,,,,,,,,
West Ham United,193097.30303030304,24.12121212121212,182.4848484848485,72.54545454545455,77.72727272727273,7179242.424242424,73666.66666666667,1.4545454545454546,,,,,,,,
